block,rate,spam,total
23651019,0,0,72
23651020,0,0,53
23651021,0,0,45
23651022,0,0,43
23651023,0,0,52
23651024,0,0,49
23651025,0,0,45
23651026,0,0,54
23651027,0,0,50
23651028,10,7,67
23651029,0,0,56
23651030,0,0,46
23651031,15,10,66
23651032,0,0,76
23651033,0,0,49
23651034,0,0,67
23651035,0,0,66
23651036,0,0,67
23651037,0,0,54
23651038,0,0,57
23651039,0,0,45
23651040,9,5,55
23651041,0,0,53
23651042,9,5,53
23651043,0,0,62
23651044,0,0,58
23651045,0,0,50
23651046,14,10,69
23651047,72,157,219
23651048,0,0,44
23651049,0,0,43
23651050,0,0,51
23651051,0,0,58
23651052,0,0,49
23651053,0,0,56
23651054,0,0,41
23651055,0,0,51
23651056,10,7,68
23651057,0,0,65
23651058,0,0,60
23651059,0,0,43
23651060,80,208,259
23651061,70,169,242
23651062,87,234,269
23651063,69,166,240
23651064,40,65,161
23651065,0,0,50
23651066,0,0,58
23651067,0,0,50
23651068,0,0,59
23651069,0,0,53
23651070,0,0,59
23651071,10,7,70
23651072,0,0,96
23651073,0,0,93
23651074,18,14,76
23651075,0,0,40
23651076,12,6,52
23651077,0,0,77
23651078,0,0,71
23651079,54,97,178
23651080,10,8,84
23651081,0,0,51
23651082,0,0,50
23651083,0,0,45
23651084,9,5,54
23651085,0,0,49
23651086,0,0,51
23651087,0,0,49
23651088,0,0,38
23651089,0,0,46
23651090,0,0,70
23651091,0,0,70
23651092,0,0,64
23651093,0,0,44
23651094,0,0,55
23651095,0,0,54
23651096,9,5,54
23651097,0,0,37
23651098,0,0,48
23651099,0,0,39
23651100,0,0,42
23651101,11,5,47
23651102,0,0,46
23651103,0,0,46
23651104,14,8,59
23651105,0,0,36
23651106,0,0,70
23651107,0,0,52
23651108,0,0,40
23651109,0,0,60
23651110,11,5,46
23651111,0,0,40
23651112,0,0,86
23651113,0,0,39
23651114,0,0,49
23651115,0,0,54
23651116,0,0,55
23651117,18,11,60
23651118,12,7,58
23651119,0,0,61
23651120,0,0,64
23651121,0,0,54
23651122,0,0,52
23651123,0,0,47
23651124,10,7,72
23651125,0,0,68
23651126,0,0,54
23651127,0,0,65
23651128,0,0,45
23651129,0,0,57
23651130,0,0,53
23651131,0,0,53
23651132,0,0,45
23651133,0,0,40
23651134,0,0,45
23651135,0,0,50
23651136,8,11,135
23651137,0,0,93
23651138,50,51,102
23651139,35,33,95
23651140,0,0,79
23651141,67,130,195
23651142,77,200,260
23651143,33,42,127
23651144,78,208,268
23651145,60,78,131
23651146,21,21,100
23651147,0,0,81
23651148,19,14,72
23651149,30,32,105
23651150,0,0,83
23651151,4,5,112
23651152,42,50,120
23651153,0,0,83
23651154,57,77,136
23651155,56,89,158
23651156,30,32,106
23651157,60,91,152
23651158,45,64,143
23651159,76,175,231
23651160,72,186,259
23651161,37,48,131
23651162,72,150,207
23651163,58,96,166
23651164,52,91,176
23651165,0,0,62
23651166,37,34,92
23651167,0,0,57
23651168,7,6,81
23651169,11,9,83
23651170,0,0,61
23651171,47,22,47
23651172,0,0,109
23651173,5,5,99
23651174,0,0,71
23651175,0,0,32
23651176,0,0,36
23651177,0,0,47
23651178,0,0,33
23651179,0,0,57
23651180,0,0,41
23651181,0,0,25
23651182,0,0,49
23651183,0,0,36
23651184,0,0,60
23651185,11,12,107
23651186,0,0,58
23651187,0,0,32
23651188,0,0,67
23651189,25,13,52
23651190,9,10,112
23651191,14,10,74
23651192,14,11,78
23651193,0,0,60
23651194,72,51,71
23651195,84,254,302
23651196,57,142,251
23651197,84,255,302
23651198,0,0,62
23651199,0,0,33
23651200,62,135,219
23651201,0,0,99
23651202,0,0,109
23651203,18,19,106
23651204,34,37,108
23651205,34,47,140
23651206,14,12,85
23651207,0,0,61
23651208,6,7,116
23651209,0,0,74
23651210,0,0,67
23651211,0,0,79
23651212,0,0,76
23651213,0,0,70
23651214,0,0,73
23651215,0,0,71
23651216,0,0,77
23651217,8,7,84
23651218,14,11,81
23651219,7,5,76
23651220,12,11,92
23651221,0,0,74
23651222,0,0,73
23651223,6,6,96
23651224,0,0,81
23651225,14,15,111
23651226,0,0,87
23651227,0,0,84
23651228,0,0,72
23651229,6,6,99
23651230,13,13,98
23651231,6,5,87
23651232,0,0,87
23651233,7,5,75
23651234,18,14,79
23651235,0,0,56
23651236,0,0,53
23651237,0,0,44
23651238,0,0,64
23651239,7,5,73
23651240,7,5,69
23651241,7,5,68
23651242,10,6,60
23651243,14,12,88
23651244,0,0,61
23651245,0,0,60
23651246,21,22,103
23651247,9,7,79
23651248,20,16,80
23651249,0,0,58
23651250,0,0,52
23651251,47,67,144
23651252,60,112,187
23651253,54,81,151
23651254,59,106,180
23651255,0,0,90
23651256,11,6,56
